"","new","c","hc_ward_cut"
"1867","A_M1020YF04_3S3RNA 24","305","2"
"1868","A_M1020YF04_3S3RNA 25","306","2"
"1869","A_M1020YF04_3S3RNA 26","306","1"
"1870","A_M1020YF04_3S3RNA 27","307","2"
"1871","A_M1020YF04_3S3RNA 28","311","1"
"1872","A_M1020YF04_3S3RNA 29","311","2"
"1873","A_M1020YF04_3S3RNA 3","105","1"
"1874","A_M1020YF04_3S3RNA 30","311","2"
"1875","A_M1020YF04_3S3RNA 31","311","1"
"1876","A_M1020YF04_3S3RNA 32","311","1"
"1877","A_M1020YF04_3S3RNA 33","311","2"
"1878","A_M1020YF04_3S3RNA 34","311","2"
"1879","A_M1020YF04_3S3RNA 35","311","2"
"1880","A_M1020YF04_3S3RNA 36","311","2"
"1881","A_M1020YF04_3S3RNA 37","311","2"
"1882","A_M1020YF04_3S3RNA 4","102","2"
"1883","A_M1020YF04_3S3RNA 5","102","2"
"1884","A_M1020YF04_3S3RNA 6","103","2"
"1885","A_M1020YF04_3S3RNA 7","103","2"
"1886","A_M1020YF04_3S3RNA 8","104","2"
"1887","A_M1020YF04_3S3RNA 9","106","2"
"1888","A_M1021YF05_1S2RNA 1","101","1"
"1889","A_M1021YF05_1S2RNA 10","106","1"
"1890","A_M1021YF05_1S2RNA 11","106","1"
"1891","A_M1021YF05_1S2RNA 12","106","1"
"1892","A_M1021YF05_1S2RNA 13","202","1"
"1893","A_M1021YF05_1S2RNA 14","203","1"
"1894","A_M1021YF05_1S2RNA 15","203","1"
"1895","A_M1021YF05_1S2RNA 16","203","1"
"1896","A_M1021YF05_1S2RNA 17","203","1"
"1897","A_M1021YF05_1S2RNA 18","203","1"
"1898","A_M1021YF05_1S2RNA 19","205","1"
"1899","A_M1021YF05_1S2RNA 2","111","1"
"1900","A_M1021YF05_1S2RNA 20","205","1"
"1901","A_M1021YF05_1S2RNA 21","205","1"
"1902","A_M1021YF05_1S2RNA 22","205","2"
"1903","A_M1021YF05_1S2RNA 23","206","2"
"1904","A_M1021YF05_1S2RNA 24","302","2"
"1905","A_M1021YF05_1S2RNA 25","304","2"
"1906","A_M1021YF05_1S2RNA 26","304","2"
"1907","A_M1021YF05_1S2RNA 27","304","2"
"1908","A_M1021YF05_1S2RNA 28","304","2"
"1909","A_M1021YF05_1S2RNA 29","304","2"
"1910","A_M1021YF05_1S2RNA 3","111","1"
"1911","A_M1021YF05_1S2RNA 30","306","1"
"1912","A_M1021YF05_1S2RNA 31","306","1"
"1913","A_M1021YF05_1S2RNA 32","306","1"
"1914","A_M1021YF05_1S2RNA 33","306","1"
"1915","A_M1021YF05_1S2RNA 34","306","1"
"1916","A_M1021YF05_1S2RNA 35","308","1"
"1917","A_M1021YF05_1S2RNA 36","308","1"
"1918","A_M1021YF05_1S2RNA 37","308","1"
"1919","A_M1021YF05_1S2RNA 38","308","1"
"1920","A_M1021YF05_1S2RNA 39","309","1"
"1921","A_M1021YF05_1S2RNA 4","111","1"
"1922","A_M1021YF05_1S2RNA 40","311","1"
"1923","A_M1021YF05_1S2RNA 41","311","1"
"1924","A_M1021YF05_1S2RNA 42","311","1"
"1925","A_M1021YF05_1S2RNA 43","311","1"
"1926","A_M1021YF05_1S2RNA 44","311","1"
"1927","A_M1021YF05_1S2RNA 45","311","1"
"1928","A_M1021YF05_1S2RNA 46","311","1"
"1929","A_M1021YF05_1S2RNA 47","311","1"
"1930","A_M1021YF05_1S2RNA 48","311","1"
"1931","A_M1021YF05_1S2RNA 49","311","1"
"1932","A_M1021YF05_1S2RNA 5","102","1"
"1933","A_M1021YF05_1S2RNA 6","102","2"
"1934","A_M1021YF05_1S2RNA 7","105","1"
"1935","A_M1021YF05_1S2RNA 8","105","1"
"1936","A_M1021YF05_1S2RNA 9","104","1"
"1937","A_M1021YF05_2S3RNA 1","101","1"
"1938","A_M1021YF05_2S3RNA 10","104","1"
"1939","A_M1021YF05_2S3RNA 11","106","1"
"1940","A_M1021YF05_2S3RNA 12","106","1"
"1941","A_M1021YF05_2S3RNA 13","202","1"
"1942","A_M1021YF05_2S3RNA 14","202","1"
"1943","A_M1021YF05_2S3RNA 15","203","1"
"1944","A_M1021YF05_2S3RNA 16","203","1"
"1945","A_M1021YF05_2S3RNA 17","203","1"
"1946","A_M1021YF05_2S3RNA 18","203","1"
"1947","A_M1021YF05_2S3RNA 19","204","1"
"1948","A_M1021YF05_2S3RNA 2","111","1"
"1949","A_M1021YF05_2S3RNA 20","205","1"
"1950","A_M1021YF05_2S3RNA 21","205","1"
"1951","A_M1021YF05_2S3RNA 22","205","2"
"1952","A_M1021YF05_2S3RNA 23","206","2"
"1953","A_M1021YF05_2S3RNA 24","301","2"
"1954","A_M1021YF05_2S3RNA 25","304","2"
"1955","A_M1021YF05_2S3RNA 26","304","2"
"1956","A_M1021YF05_2S3RNA 27","304","2"
"1957","A_M1021YF05_2S3RNA 28","304","2"
"1958","A_M1021YF05_2S3RNA 29","304","2"
"1959","A_M1021YF05_2S3RNA 3","111","1"
"1960","A_M1021YF05_2S3RNA 30","306","1"
"1961","A_M1021YF05_2S3RNA 31","306","1"
"1962","A_M1021YF05_2S3RNA 32","306","1"
"1963","A_M1021YF05_2S3RNA 33","306","1"
"1964","A_M1021YF05_2S3RNA 34","307","1"
"1965","A_M1021YF05_2S3RNA 35","307","1"
"1966","A_M1021YF05_2S3RNA 36","311","1"
"1967","A_M1021YF05_2S3RNA 37","311","1"
"1968","A_M1021YF05_2S3RNA 38","311","1"
"1969","A_M1021YF05_2S3RNA 39","311","1"
"1970","A_M1021YF05_2S3RNA 4","105","1"
"1971","A_M1021YF05_2S3RNA 40","311","1"
"1972","A_M1021YF05_2S3RNA 41","311","1"
"1973","A_M1021YF05_2S3RNA 42","311","1"
"1974","A_M1021YF05_2S3RNA 43","311","1"
"1975","A_M1021YF05_2S3RNA 44","311","2"
"1976","A_M1021YF05_2S3RNA 45","311","2"
"1977","A_M1021YF05_2S3RNA 46","311","2"
"1978","A_M1021YF05_2S3RNA 5","102","1"
"1979","A_M1021YF05_2S3RNA 6","102","1"
"1980","A_M1021YF05_2S3RNA 7","102","2"
"1981","A_M1021YF05_2S3RNA 8","103","2"
"1982","A_M1021YF05_2S3RNA 9","103","1"
"1983","A_M1021YF05_3S1RNA 1","101","1"
"1984","A_M1021YF05_3S1RNA 10","203","1"
"1985","A_M1021YF05_3S1RNA 11","203","1"
"1986","A_M1021YF05_3S1RNA 12","203","1"
"1987","A_M1021YF05_3S1RNA 13","203","1"
"1988","A_M1021YF05_3S1RNA 14","204","1"
"1989","A_M1021YF05_3S1RNA 15","205","1"
"1990","A_M1021YF05_3S1RNA 16","205","1"
"1991","A_M1021YF05_3S1RNA 17","205","1"
"1992","A_M1021YF05_3S1RNA 18","301","2"
"1993","A_M1021YF05_3S1RNA 19","303.5","2"
"1994","A_M1021YF05_3S1RNA 2","102","2"
"1995","A_M1021YF05_3S1RNA 20","304","2"
"1996","A_M1021YF05_3S1RNA 21","304","2"
"1997","A_M1021YF05_3S1RNA 22","304","2"
"1998","A_M1021YF05_3S1RNA 23","304","2"
"1999","A_M1021YF05_3S1RNA 24","306","2"
"2000","A_M1021YF05_3S1RNA 25","306","1"
"2001","A_M1021YF05_3S1RNA 26","306","1"
"2002","A_M1021YF05_3S1RNA 27","308","1"
"2003","A_M1021YF05_3S1RNA 28","308","1"
"2004","A_M1021YF05_3S1RNA 29","308","2"
"2005","A_M1021YF05_3S1RNA 3","103","1"
"2006","A_M1021YF05_3S1RNA 30","311","1"
"2007","A_M1021YF05_3S1RNA 31","311","1"
"2008","A_M1021YF05_3S1RNA 32","311","1"
"2009","A_M1021YF05_3S1RNA 33","311","1"
"2010","A_M1021YF05_3S1RNA 34","311","1"
"2011","A_M1021YF05_3S1RNA 35","311","1"
"2012","A_M1021YF05_3S1RNA 36","311","2"
"2013","A_M1021YF05_3S1RNA 37","311","2"
"2014","A_M1021YF05_3S1RNA 38","311","2"
"2015","A_M1021YF05_3S1RNA 39","311","2"
"2016","A_M1021YF05_3S1RNA 4","103","2"
"2017","A_M1021YF05_3S1RNA 40","311","2"
"2018","A_M1021YF05_3S1RNA 5","104","2"
"2019","A_M1021YF05_3S1RNA 6","105","2"
"2020","A_M1021YF05_3S1RNA 7","106","2"
"2021","A_M1021YF05_3S1RNA 8","106","2"
"2022","A_M1021YF05_3S1RNA 9","201","1"
"2023","A_M1025MM01_1S1RNA 1","102","1"
"2024","A_M1025MM01_1S1RNA 10","202","1"
"2025","A_M1025MM01_1S1RNA 11","203","1"
"2026","A_M1025MM01_1S1RNA 12","203","1"
"2027","A_M1025MM01_1S1RNA 13","203","1"
"2028","A_M1025MM01_1S1RNA 14","203","1"
"2029","A_M1025MM01_1S1RNA 15","205","1"
"2030","A_M1025MM01_1S1RNA 16","205","1"
"2031","A_M1025MM01_1S1RNA 17","205","1"
"2032","A_M1025MM01_1S1RNA 18","206","1"
"2033","A_M1025MM01_1S1RNA 19","301","2"
"2034","A_M1025MM01_1S1RNA 2","102","2"
"2035","A_M1025MM01_1S1RNA 20","304","2"
"2036","A_M1025MM01_1S1RNA 21","304","2"
"2037","A_M1025MM01_1S1RNA 22","304","2"
"2038","A_M1025MM01_1S1RNA 23","304","2"
"2039","A_M1025MM01_1S1RNA 24","306","2"
"2040","A_M1025MM01_1S1RNA 25","306","1"
"2041","A_M1025MM01_1S1RNA 26","306","1"
"2042","A_M1025MM01_1S1RNA 27","308","1"
"2043","A_M1025MM01_1S1RNA 28","308","1"
"2044","A_M1025MM01_1S1RNA 29","308","2"
"2045","A_M1025MM01_1S1RNA 3","103","2"
"2046","A_M1025MM01_1S1RNA 30","311","1"
"2047","A_M1025MM01_1S1RNA 31","311","1"
"2048","A_M1025MM01_1S1RNA 32","311","1"
"2049","A_M1025MM01_1S1RNA 33","311","1"
"2050","A_M1025MM01_1S1RNA 34","311","1"
"2051","A_M1025MM01_1S1RNA 35","311","1"
"2052","A_M1025MM01_1S1RNA 36","311","2"
"2053","A_M1025MM01_1S1RNA 37","311","2"
"2054","A_M1025MM01_1S1RNA 38","311","2"
"2055","A_M1025MM01_1S1RNA 39","311","2"
"2056","A_M1025MM01_1S1RNA 4","103","2"
"2057","A_M1025MM01_1S1RNA 5","104","2"
"2058","A_M1025MM01_1S1RNA 6","104","2"
"2059","A_M1025MM01_1S1RNA 7","106","2"
"2060","A_M1025MM01_1S1RNA 8","106","2"
"2061","A_M1025MM01_1S1RNA 9","106","2"
"2062","A_M1025MM01_2S2RNA 1","111","1"
"2063","A_M1025MM01_2S2RNA 10","106","1"
"2064","A_M1025MM01_2S2RNA 11","202","1"
"2065","A_M1025MM01_2S2RNA 12","203","1"
"2066","A_M1025MM01_2S2RNA 13","203","1"
"2067","A_M1025MM01_2S2RNA 14","203","1"
"2068","A_M1025MM01_2S2RNA 15","203","1"
"2069","A_M1025MM01_2S2RNA 16","205","1"
"2070","A_M1025MM01_2S2RNA 17","205","1"
"2071","A_M1025MM01_2S2RNA 18","205","1"
"2072","A_M1025MM01_2S2RNA 19","206","1"
"2073","A_M1025MM01_2S2RNA 2","111","2"
"2074","A_M1025MM01_2S2RNA 20","301","2"
"2075","A_M1025MM01_2S2RNA 21","304","2"
"2076","A_M1025MM01_2S2RNA 22","304","2"
"2077","A_M1025MM01_2S2RNA 23","304","2"
"2078","A_M1025MM01_2S2RNA 24","304","2"
"2079","A_M1025MM01_2S2RNA 25","306","2"
"2080","A_M1025MM01_2S2RNA 26","306","1"
"2081","A_M1025MM01_2S2RNA 27","306","1"
"2082","A_M1025MM01_2S2RNA 28","308","1"
"2083","A_M1025MM01_2S2RNA 29","308","1"
"2084","A_M1025MM01_2S2RNA 3","111","2"
"2085","A_M1025MM01_2S2RNA 30","309","2"
"2086","A_M1025MM01_2S2RNA 31","311","1"
"2087","A_M1025MM01_2S2RNA 32","311","1"
"2088","A_M1025MM01_2S2RNA 33","311","1"
"2089","A_M1025MM01_2S2RNA 34","311","1"
"2090","A_M1025MM01_2S2RNA 35","311","1"
"2091","A_M1025MM01_2S2RNA 36","311","2"
"2092","A_M1025MM01_2S2RNA 37","311","2"
"2093","A_M1025MM01_2S2RNA 38","311","2"
"2094","A_M1025MM01_2S2RNA 39","311","2"
"2095","A_M1025MM01_2S2RNA 4","102","2"
"2096","A_M1025MM01_2S2RNA 40","311","2"
"2097","A_M1025MM01_2S2RNA 5","102","2"
"2098","A_M1025MM01_2S2RNA 6","105","2"
"2099","A_M1025MM01_2S2RNA 7","105","2"
"2100","A_M1025MM01_2S2RNA 8","105","2"
"2101","A_M1025MM01_2S2RNA 9","106","1"
"2102","A_M1025MM01_3S3RNA 1","111","1"
"2103","A_M1025MM01_3S3RNA 10","106","1"
"2104","A_M1025MM01_3S3RNA 11","106","1"
"2105","A_M1025MM01_3S3RNA 12","201","1"
"2106","A_M1025MM01_3S3RNA 13","203","1"
"2107","A_M1025MM01_3S3RNA 14","203","1"
"2108","A_M1025MM01_3S3RNA 15","203","1"
"2109","A_M1025MM01_3S3RNA 16","203","1"
"2110","A_M1025MM01_3S3RNA 17","204","1"
"2111","A_M1025MM01_3S3RNA 18","205","1"
"2112","A_M1025MM01_3S3RNA 19","205","1"
"2113","A_M1025MM01_3S3RNA 2","111","1"
"2114","A_M1025MM01_3S3RNA 20","205","2"
"2115","A_M1025MM01_3S3RNA 21","206","2"
"2116","A_M1025MM01_3S3RNA 22","303","2"
"2117","A_M1025MM01_3S3RNA 23","304","2"
"2118","A_M1025MM01_3S3RNA 24","304","2"
"2119","A_M1025MM01_3S3RNA 25","304","2"
"2120","A_M1025MM01_3S3RNA 26","305","2"
"2121","A_M1025MM01_3S3RNA 27","306","2"
"2122","A_M1025MM01_3S3RNA 28","306","1"
"2123","A_M1025MM01_3S3RNA 29","306","1"
"2124","A_M1025MM01_3S3RNA 3","111","1"
"2125","A_M1025MM01_3S3RNA 30","307","2"
"2126","A_M1025MM01_3S3RNA 31","311","1"
"2127","A_M1025MM01_3S3RNA 32","311","1"
"2128","A_M1025MM01_3S3RNA 33","311","1"
"2129","A_M1025MM01_3S3RNA 34","311","1"
"2130","A_M1025MM01_3S3RNA 35","311","1"
"2131","A_M1025MM01_3S3RNA 36","311","1"
"2132","A_M1025MM01_3S3RNA 37","311","1"
"2133","A_M1025MM01_3S3RNA 38","311","2"
"2134","A_M1025MM01_3S3RNA 39","311","2"
"2135","A_M1025MM01_3S3RNA 4","102","2"
"2136","A_M1025MM01_3S3RNA 40","311","2"
"2137","A_M1025MM01_3S3RNA 5","102","2"
"2138","A_M1025MM01_3S3RNA 6","102","2"
"2139","A_M1025MM01_3S3RNA 7","103","2"
"2140","A_M1025MM01_3S3RNA 8","103","2"
"2141","A_M1025MM01_3S3RNA 9","104","2"
"2142","A_M1026MM01_1S1RNA 1","102","1"
"2143","A_M1026MM01_1S1RNA 10","201","1"
"2144","A_M1026MM01_1S1RNA 11","203","1"
"2145","A_M1026MM01_1S1RNA 12","203","1"
"2146","A_M1026MM01_1S1RNA 13","203","1"
"2147","A_M1026MM01_1S1RNA 14","203","1"
"2148","A_M1026MM01_1S1RNA 15","204","1"
"2149","A_M1026MM01_1S1RNA 16","205","1"
"2150","A_M1026MM01_1S1RNA 17","205","1"
"2151","A_M1026MM01_1S1RNA 18","205","1"
"2152","A_M1026MM01_1S1RNA 19","206","2"
"2153","A_M1026MM01_1S1RNA 2","102","2"
"2154","A_M1026MM01_1S1RNA 20","303","2"
"2155","A_M1026MM01_1S1RNA 21","304","2"
"2156","A_M1026MM01_1S1RNA 22","304","2"
"2157","A_M1026MM01_1S1RNA 23","304","2"
"2158","A_M1026MM01_1S1RNA 24","305","2"
"2159","A_M1026MM01_1S1RNA 25","306","2"
"2160","A_M1026MM01_1S1RNA 26","306","1"
"2161","A_M1026MM01_1S1RNA 27","308","2"
"2162","A_M1026MM01_1S1RNA 28","308","1"
"2163","A_M1026MM01_1S1RNA 29","311","2"
"2164","A_M1026MM01_1S1RNA 3","103","2"
"2165","A_M1026MM01_1S1RNA 30","311","2"
"2166","A_M1026MM01_1S1RNA 31","311","2"
"2167","A_M1026MM01_1S1RNA 32","311","1"
"2168","A_M1026MM01_1S1RNA 33","311","2"
"2169","A_M1026MM01_1S1RNA 34","311","1"
"2170","A_M1026MM01_1S1RNA 35","311","2"
"2171","A_M1026MM01_1S1RNA 36","311","2"
"2172","A_M1026MM01_1S1RNA 37","311","2"
"2173","A_M1026MM01_1S1RNA 38","311","2"
"2174","A_M1026MM01_1S1RNA 4","103","2"
"2175","A_M1026MM01_1S1RNA 5","104","2"
"2176","A_M1026MM01_1S1RNA 6","104","2"
"2177","A_M1026MM01_1S1RNA 7","105","2"
"2178","A_M1026MM01_1S1RNA 8","106","2"
"2179","A_M1026MM01_1S1RNA 9","106","2"
"2180","A_M1026MM01_2S2RNA 1","106","1"
"2181","A_M1026MM01_2S2RNA 10","106","1"
"2182","A_M1026MM01_2S2RNA 11","106","1"
"2183","A_M1026MM01_2S2RNA 12","106","1"
"2184","A_M1026MM01_2S2RNA 13","202","1"
"2185","A_M1026MM01_2S2RNA 14","203","1"
"2186","A_M1026MM01_2S2RNA 15","203","1"
"2187","A_M1026MM01_2S2RNA 16","203","1"
"2188","A_M1026MM01_2S2RNA 17","203","1"
"2189","A_M1026MM01_2S2RNA 18","205","1"
"2190","A_M1026MM01_2S2RNA 19","205","1"
"2191","A_M1026MM01_2S2RNA 2","111","1"
"2192","A_M1026MM01_2S2RNA 20","205","1"
"2193","A_M1026MM01_2S2RNA 21","205","2"
"2194","A_M1026MM01_2S2RNA 22","301","2"
"2195","A_M1026MM01_2S2RNA 23","304","2"
"2196","A_M1026MM01_2S2RNA 24","304","2"
"2197","A_M1026MM01_2S2RNA 25","304","2"
"2198","A_M1026MM01_2S2RNA 26","304","2"
"2199","A_M1026MM01_2S2RNA 27","305","2"
"2200","A_M1026MM01_2S2RNA 28","306","1"
"2201","A_M1026MM01_2S2RNA 29","306","1"
"2202","A_M1026MM01_2S2RNA 3","111","1"
"2203","A_M1026MM01_2S2RNA 30","308","1"
"2204","A_M1026MM01_2S2RNA 31","308","2"
"2205","A_M1026MM01_2S2RNA 32","311","2"
"2206","A_M1026MM01_2S2RNA 33","311","1"
"2207","A_M1026MM01_2S2RNA 34","311","1"
"2208","A_M1026MM01_2S2RNA 35","311","1"
"2209","A_M1026MM01_2S2RNA 36","311","1"
"2210","A_M1026MM01_2S2RNA 37","311","1"
"2211","A_M1026MM01_2S2RNA 38","311","2"
"2212","A_M1026MM01_2S2RNA 39","311","2"
"2213","A_M1026MM01_2S2RNA 4","111","2"
"2214","A_M1026MM01_2S2RNA 40","311","2"
"2215","A_M1026MM01_2S2RNA 41","311","2"
"2216","A_M1026MM01_2S2RNA 5","102","2"
"2217","A_M1026MM01_2S2RNA 6","102","2"
"2218","A_M1026MM01_2S2RNA 7","102","2"
"2219","A_M1026MM01_2S2RNA 8","105","2"
"2220","A_M1026MM01_2S2RNA 9","105","2"
"2221","A_M1026MM01_3S3RNA 1","111","1"
"2222","A_M1026MM01_3S3RNA 10","104","1"
"2223","A_M1026MM01_3S3RNA 11","106","1"
"2224","A_M1026MM01_3S3RNA 12","106","1"
"2225","A_M1026MM01_3S3RNA 13","201","1"
"2226","A_M1026MM01_3S3RNA 14","203","1"
"2227","A_M1026MM01_3S3RNA 15","203","1"
"2228","A_M1026MM01_3S3RNA 16","203","1"
"2229","A_M1026MM01_3S3RNA 17","203","1"
"2230","A_M1026MM01_3S3RNA 18","204","1"
"2231","A_M1026MM01_3S3RNA 19","205","1"
"2232","A_M1026MM01_3S3RNA 2","111","1"
"2233","A_M1026MM01_3S3RNA 20","205","1"
"2234","A_M1026MM01_3S3RNA 21","205","2"
"2235","A_M1026MM01_3S3RNA 22","206","2"
"2236","A_M1026MM01_3S3RNA 23","303","2"
"2237","A_M1026MM01_3S3RNA 24","304","2"
"2238","A_M1026MM01_3S3RNA 25","304","2"
"2239","A_M1026MM01_3S3RNA 26","304","2"
"2240","A_M1026MM01_3S3RNA 27","305","2"
"2241","A_M1026MM01_3S3RNA 28","306","2"
"2242","A_M1026MM01_3S3RNA 29","306","1"
"2243","A_M1026MM01_3S3RNA 3","111","2"
"2244","A_M1026MM01_3S3RNA 30","307","1"
"2245","A_M1026MM01_3S3RNA 31","311","2"
"2246","A_M1026MM01_3S3RNA 32","311","1"
"2247","A_M1026MM01_3S3RNA 33","311","2"
"2248","A_M1026MM01_3S3RNA 34","311","1"
"2249","A_M1026MM01_3S3RNA 35","311","1"
"2250","A_M1026MM01_3S3RNA 36","311","1"
"2251","A_M1026MM01_3S3RNA 37","311","2"
"2252","A_M1026MM01_3S3RNA 38","311","2"
"2253","A_M1026MM01_3S3RNA 39","311","2"
"2254","A_M1026MM01_3S3RNA 4","105","2"
"2255","A_M1026MM01_3S3RNA 40","311","2"
"2256","A_M1026MM01_3S3RNA 5","102","2"
"2257","A_M1026MM01_3S3RNA 6","102","2"
"2258","A_M1026MM01_3S3RNA 7","102","2"
"2259","A_M1026MM01_3S3RNA 8","103","2"
"2260","A_M1026MM01_3S3RNA 9","103","2"
"2261","A_M1027MM02_1S2RNA 1","101","1"
"2262","A_M1027MM02_1S2RNA 10","106","1"
"2263","A_M1027MM02_1S2RNA 11","106","1"
"2264","A_M1027MM02_1S2RNA 12","106","1"
"2265","A_M1027MM02_1S2RNA 13","202","1"
"2266","A_M1027MM02_1S2RNA 14","203","1"
"2267","A_M1027MM02_1S2RNA 15","203","1"
"2268","A_M1027MM02_1S2RNA 16","203","1"
"2269","A_M1027MM02_1S2RNA 17","203","1"
"2270","A_M1027MM02_1S2RNA 18","204","1"
"2271","A_M1027MM02_1S2RNA 19","205","1"
"2272","A_M1027MM02_1S2RNA 2","111","1"
"2273","A_M1027MM02_1S2RNA 20","205","1"
"2274","A_M1027MM02_1S2RNA 21","205","2"
"2275","A_M1027MM02_1S2RNA 22","206","2"
"2276","A_M1027MM02_1S2RNA 23","302","2"
"2277","A_M1027MM02_1S2RNA 24","304","2"
"2278","A_M1027MM02_1S2RNA 25","304","2"
"2279","A_M1027MM02_1S2RNA 26","304","2"
"2280","A_M1027MM02_1S2RNA 27","304","2"
"2281","A_M1027MM02_1S2RNA 28","306","2"
"2282","A_M1027MM02_1S2RNA 29","306","1"
"2283","A_M1027MM02_1S2RNA 3","111","1"
"2284","A_M1027MM02_1S2RNA 30","307","1"
"2285","A_M1027MM02_1S2RNA 31","308","1"
"2286","A_M1027MM02_1S2RNA 32","308","2"
"2287","A_M1027MM02_1S2RNA 33","311","2"
"2288","A_M1027MM02_1S2RNA 34","311","1"
"2289","A_M1027MM02_1S2RNA 35","311","1"
"2290","A_M1027MM02_1S2RNA 36","311","1"
"2291","A_M1027MM02_1S2RNA 37","311","1"
"2292","A_M1027MM02_1S2RNA 38","311","1"
"2293","A_M1027MM02_1S2RNA 39","311","2"
"2294","A_M1027MM02_1S2RNA 4","111","2"
"2295","A_M1027MM02_1S2RNA 40","311","2"
"2296","A_M1027MM02_1S2RNA 41","311","2"
"2297","A_M1027MM02_1S2RNA 42","311","2"
"2298","A_M1027MM02_1S2RNA 5","102","2"
"2299","A_M1027MM02_1S2RNA 6","102","2"
"2300","A_M1027MM02_1S2RNA 7","102","2"
"2301","A_M1027MM02_1S2RNA 8","105","2"
"2302","A_M1027MM02_1S2RNA 9","105","2"
"2303","A_M1027MM02_2S3RNA 1","111","1"
"2304","A_M1027MM02_2S3RNA 10","106","1"
"2305","A_M1027MM02_2S3RNA 11","106","1"
"2306","A_M1027MM02_2S3RNA 12","106","1"
"2307","A_M1027MM02_2S3RNA 13","202","1"
"2308","A_M1027MM02_2S3RNA 14","203","1"
"2309","A_M1027MM02_2S3RNA 15","203","1"
"2310","A_M1027MM02_2S3RNA 16","203","1"
"2311","A_M1027MM02_2S3RNA 17","203","1"
"2312","A_M1027MM02_2S3RNA 18","204","1"
"2313","A_M1027MM02_2S3RNA 19","205","1"
"2314","A_M1027MM02_2S3RNA 2","111","1"
"2315","A_M1027MM02_2S3RNA 20","205","1"
"2316","A_M1027MM02_2S3RNA 21","205","2"
"2317","A_M1027MM02_2S3RNA 22","253.5","2"
"2318","A_M1027MM02_2S3RNA 23","303","2"
"2319","A_M1027MM02_2S3RNA 24","304","2"
"2320","A_M1027MM02_2S3RNA 25","304","2"
"2321","A_M1027MM02_2S3RNA 26","304","2"
"2322","A_M1027MM02_2S3RNA 27","305","2"
"2323","A_M1027MM02_2S3RNA 28","306","2"
"2324","A_M1027MM02_2S3RNA 29","306","1"
"2325","A_M1027MM02_2S3RNA 3","111","1"
"2326","A_M1027MM02_2S3RNA 30","307","1"
"2327","A_M1027MM02_2S3RNA 31","307","2"
"2328","A_M1027MM02_2S3RNA 32","311","1"
"2329","A_M1027MM02_2S3RNA 33","311","1"
"2330","A_M1027MM02_2S3RNA 34","311","1"
"2331","A_M1027MM02_2S3RNA 35","311","1"
"2332","A_M1027MM02_2S3RNA 36","311","1"
"2333","A_M1027MM02_2S3RNA 37","311","2"
"2334","A_M1027MM02_2S3RNA 38","311","2"
"2335","A_M1027MM02_2S3RNA 39","311","2"
"2336","A_M1027MM02_2S3RNA 4","105","2"
"2337","A_M1027MM02_2S3RNA 40","311","2"
"2338","A_M1027MM02_2S3RNA 41","311","2"
"2339","A_M1027MM02_2S3RNA 5","102","2"
"2340","A_M1027MM02_2S3RNA 6","102","2"
"2341","A_M1027MM02_2S3RNA 7","102","2"
"2342","A_M1027MM02_2S3RNA 8","103","2"
"2343","A_M1027MM02_2S3RNA 9","104","1"
"2344","A_M1027MM02_3S1RNA 1","101.5","1"
"2345","A_M1027MM02_3S1RNA 10","106","1"
"2346","A_M1027MM02_3S1RNA 11","202","1"
"2347","A_M1027MM02_3S1RNA 12","203","1"
"2348","A_M1027MM02_3S1RNA 13","203","1"
"2349","A_M1027MM02_3S1RNA 14","203","1"
"2350","A_M1027MM02_3S1RNA 15","203","1"
"2351","A_M1027MM02_3S1RNA 16","204","1"
"2352","A_M1027MM02_3S1RNA 17","205","1"
"2353","A_M1027MM02_3S1RNA 18","205","1"
"2354","A_M1027MM02_3S1RNA 19","205","1"
"2355","A_M1027MM02_3S1RNA 2","102","2"
"2356","A_M1027MM02_3S1RNA 20","206","2"
"2357","A_M1027MM02_3S1RNA 21","303","2"
"2358","A_M1027MM02_3S1RNA 22","304","2"
"2359","A_M1027MM02_3S1RNA 23","304","2"
"2360","A_M1027MM02_3S1RNA 24","304","2"
"2361","A_M1027MM02_3S1RNA 25","305","2"
"2362","A_M1027MM02_3S1RNA 26","306","2"
"2363","A_M1027MM02_3S1RNA 27","306","1"
"2364","A_M1027MM02_3S1RNA 28","308","1"
"2365","A_M1027MM02_3S1RNA 29","308","1"
"2366","A_M1027MM02_3S1RNA 3","103","1"
"2367","A_M1027MM02_3S1RNA 30","309","2"
"2368","A_M1027MM02_3S1RNA 31","311","2"
"2369","A_M1027MM02_3S1RNA 32","311","1"
"2370","A_M1027MM02_3S1RNA 33","311","1"
"2371","A_M1027MM02_3S1RNA 34","311","1"
"2372","A_M1027MM02_3S1RNA 35","311","1"
"2373","A_M1027MM02_3S1RNA 36","311","1"
"2374","A_M1027MM02_3S1RNA 37","311","2"
"2375","A_M1027MM02_3S1RNA 38","311","2"
"2376","A_M1027MM02_3S1RNA 39","311","2"
"2377","A_M1027MM02_3S1RNA 4","103","2"
"2378","A_M1027MM02_3S1RNA 40","311","2"
"2379","A_M1027MM02_3S1RNA 5","103","2"
"2380","A_M1027MM02_3S1RNA 6","104","2"
"2381","A_M1027MM02_3S1RNA 7","105","2"
"2382","A_M1027MM02_3S1RNA 8","106","2"
"2383","A_M1027MM02_3S1RNA 9","106","1"
